SalePrice,YearBuilt,YrSold,NumberSold,MonthSold,Size_sqf,Floor,N_Parkinglot_Ground,N_elevators,N_FacilitiesNearBy_PublicOffice,N_FacilitiesNearBy_Hospital,N_FacilitiesNearBy_Dpartmentstore,N_FacilitiesNearBy_Mall,N_FacilitiesNearBy_Park,N_SchoolNearBy_University,N_FacilitiesNearByTotal,N_SchoolNearByTotal
198230,2007,2007,0,9,868,13,0,16,3,1,2,1,2,2,9,10
74336,1997,2007,10,10,644,15,82,4,7,1,2,1,1,3,13,7
46902,1985,2007,22,10,587,5,80,2,5,1,2,1,1,0,12,4
61946,1985,2007,22,10,676,7,80,2,5,1,2,1,1,0,12,4
292035,2006,2007,1,10,2056,2,249,11,1,1,0,1,0,2,3,7
221238,1993,2007,14,10,1761,15,523,20,6,2,0,1,0,5,14,17
38495,1992,2007,15,10,355,13,200,10,7,1,1,1,1,5,16,17
60619,1992,2007,15,10,576,2,200,10,7,1,1,1,1,5,16,17
138053,1993,2007,14,10,914,9,523,20,6,2,0,1,0,5,14,17
39823,1992,2007,15,10,355,5,200,10,7,1,1,1,1,5,16,17
36283,1992,2007,15,10,355,1,200,10,7,1,1,1,1,5,16,17
92920,1993,2007,14,10,644,18,523,20,6,2,0,1,0,5,14,17
176991,1993,2007,14,10,1451,17,523,20,6,2,0,1,0,5,14,17
134513,1993,2007,14,10,914,16,523,20,6,2,0,1,0,5,14,17
77876,1992,2007,15,10,644,7,142,8,5,1,1,1,0,4,9,14
85840,1993,2007,14,10,644,17,523,20,6,2,0,1,0,5,14,17
141592,1992,2007,15,10,1448,11,142,8,5,1,1,1,0,4,9,14
98230,1993,2007,14,10,644,12,523,20,6,2,0,1,0,5,14,17
35398,1992,2007,15,10,355,8,200,10,7,1,1,1,1,5,16,17
159292,1993,2007,14,10,1288,15,523,20,6,2,0,1,0,5,14,17
95575,1993,2007,14,10,644,14,523,20,6,2,0,1,0,5,14,17
147787,2005,2007,2,10,743,8,67,0,5,2,0,1,0,4,13,15
340707,2007,2007,0,10,1387,42,0,16,3,1,2,1,2,2,9,10
197345,2007,2007,0,10,868,7,0,16,3,1,2,1,2,2,9,10
181415,2007,2007,0,10,868,7,0,16,3,1,2,1,2,2,9,10
346017,2007,2007,0,10,1387,28,0,16,3,1,2,1,2,2,9,10
55752,1985,2007,22,11,587,9,80,2,5,1,2,1,1,0,12,4
347787,2007,2007,0,11,1334,10,7,5,4,1,2,1,1,1,9,5
347787,2007,2007,0,11,1334,17,7,5,4,1,2,1,1,1,9,5
383185,2007,2007,0,11,1444,16,7,5,4,1,2,1,1,1,9,5
462831,2007,2007,0,11,1690,22,7,5,4,1,2,1,1,1,9,5
407079,2007,2007,0,11,1629,4,7,5,4,1,2,1,1,1,9,5
360176,2007,2007,0,11,1483,4,7,5,4,1,2,1,1,1,9,5
315929,2007,2007,0,11,1334,3,7,5,4,1,2,1,1,1,9,5
289380,2007,2007,0,11,1273,3,7,5,4,1,2,1,1,1,9,5
348672,2007,2007,0,11,1483,3,7,5,4,1,2,1,1,1,9,5
465486,2007,2007,0,11,1690,25,7,5,4,1,2,1,1,1,9,5
393805,2007,2007,0,11,1629,3,7,5,4,1,2,1,1,1,9,5
408849,2007,2007,0,11,1690,3,7,5,4,1,2,1,1,1,9,5
348672,2007,2007,0,11,1483,3,7,5,4,1,2,1,1,1,9,5
371681,2007,2007,0,11,1483,9,7,5,4,1,2,1,1,1,9,5
326548,2007,2007,0,11,1334,4,7,5,4,1,2,1,1,1,9,5
348672,2007,2007,0,11,1483,4,7,5,4,1,2,1,1,1,9,5
371681,2007,2007,0,11,1483,6,7,5,4,1,2,1,1,1,9,5
348672,2007,2007,0,11,1483,5,7,5,4,1,2,1,1,1,9,5
371681,2007,2007,0,11,1483,8,7,5,4,1,2,1,1,1,9,5
337168,2007,2007,0,11,1483,3,7,5,4,1,2,1,1,1,9,5
360176,2007,2007,0,11,1483,4,7,5,4,1,2,1,1,1,9,5
360176,2007,2007,0,11,1483,6,7,5,4,1,2,1,1,1,9,5
95132,1986,2007,21,11,910,15,100,2,5,1,2,1,1,2,11,13
110619,1993,2007,14,11,914,1,523,20,6,2,0,1,0,5,14,17
163716,2005,2007,2,11,914,8,67,0,5,2,0,1,0,4,13,15
232212,2007,2007,0,11,1103,24,554,10,2,2,2,2,1,2,9,8
86725,1993,2007,14,11,644,15,523,20,6,2,0,1,0,5,14,17
172566,1993,2007,14,11,1761,4,523,20,6,2,0,1,0,5,14,17
194690,1993,2007,14,11,2337,18,523,20,6,2,0,1,0,5,14,17
36283,1992,2007,15,11,355,4,200,10,7,1,1,1,1,5,16,17
60176,1992,2007,15,11,576,14,200,10,7,1,1,1,1,5,16,17
88495,1993,2007,14,11,644,19,523,20,6,2,0,1,0,5,14,17
61946,1992,2007,15,11,576,8,200,10,7,1,1,1,1,5,16,17
81858,1992,2007,15,11,644,16,142,8,5,1,1,1,0,4,9,14
60176,1992,2007,15,11,576,11,200,10,7,1,1,1,1,5,16,17
191150,2007,2007,0,11,868,8,0,16,3,1,2,1,2,2,9,10
408849,2007,2007,0,11,1643,4,0,16,3,1,2,1,2,2,9,10
162831,1986,2007,21,11,1131,5,713,27,5,1,1,0,1,1,9,6
203539,2007,2007,0,11,868,21,0,16,3,1,2,1,2,2,9,10
94690,1986,2007,21,12,910,16,100,2,5,1,2,1,1,2,11,13
242920,2006,2007,1,12,1437,4,249,11,1,1,0,1,0,2,3,7
307964,2006,2007,1,12,1743,15,249,11,1,1,0,1,0,2,3,7
287486,2007,2007,0,12,1366,19,554,10,2,2,2,2,1,2,9,8
285840,2007,2007,0,12,1366,20,554,10,2,2,2,2,1,2,9,8
132743,1993,2007,14,12,914,16,523,20,6,2,0,1,0,5,14,17
176991,2007,2007,0,12,914,30,554,10,2,2,2,2,1,2,9,8
323982,2007,2007,0,12,1448,30,554,10,2,2,2,2,1,2,9,8
92035,1993,2007,14,12,644,15,523,20,6,2,0,1,0,5,14,17
115044,1993,2007,14,12,914,9,523,20,6,2,0,1,0,5,14,17
137168,1993,2007,14,12,914,21,523,20,6,2,0,1,0,5,14,17
265486,2007,2007,0,12,1394,24,554,10,2,2,2,2,1,2,9,8
97345,1993,2007,14,12,644,17,523,20,6,2,0,1,0,5,14,17
199469,2007,2007,0,12,1103,17,554,10,2,2,2,2,1,2,9,8
290000,2007,2007,0,12,1366,18,554,10,2,2,2,2,1,2,9,8
82300,1993,2007,14,12,644,8,523,20,6,2,0,1,0,5,14,17
134513,1993,2007,14,12,914,11,523,20,6,2,0,1,0,5,14,17
201769,2007,2007,0,12,868,24,0,16,3,1,2,1,2,2,9,10
185840,1986,2007,21,12,1131,5,713,27,5,1,1,0,1,1,9,6
174336,1986,2007,21,12,1131,11,713,27,5,1,1,0,1,1,9,6
319469,2007,2007,0,12,1387,30,0,16,3,1,2,1,2,2,9,10
170796,1986,2007,21,12,1377,2,713,27,5,1,1,0,1,1,9,6
112389,1997,2008,11,1,914,11,82,4,7,1,2,1,1,3,13,7
72566,1985,2008,23,1,676,6,80,2,5,1,2,1,1,0,12,4
448672,2007,2008,1,1,1690,18,7,5,4,1,2,1,1,1,9,5
462831,2007,2008,1,1,1690,20,7,5,4,1,2,1,1,1,9,5
317699,2007,2008,1,1,1273,13,7,5,4,1,2,1,1,1,9,5
295460,2007,2008,1,1,1273,18,7,5,4,1,2,1,1,1,9,5
44247,1986,2008,22,1,508,1,100,2,5,1,2,1,1,2,11,13
51327,1986,2008,22,1,508,11,100,2,5,1,2,1,1,2,11,13
52212,1986,2008,22,1,547,4,100,2,5,1,2,1,1,2,11,13
265486,2006,2008,2,1,1437,28,249,11,1,1,0,1,0,2,3,7
38761,1992,2008,16,1,355,3,200,10,7,1,1,1,1,5,16,17
39823,1992,2008,16,1,355,12,200,10,7,1,1,1,1,5,16,17
84070,1993,2008,15,1,644,21,523,20,6,2,0,1,0,5,14,17
212389,2005,2008,3,1,1184,17,67,0,5,2,0,1,0,4,13,15
225663,2007,2008,1,1,1103,14,554,10,2,2,2,2,1,2,9,8
151327,2005,2008,3,1,743,10,67,0,5,2,0,1,0,4,13,15
91150,1993,2008,15,1,644,20,523,20,6,2,0,1,0,5,14,17
131415,2005,2008,3,1,743,3,67,0,5,2,0,1,0,4,13,15
135398,1993,2008,15,1,914,10,523,20,6,2,0,1,0,5,14,17
163539,2007,2008,1,1,914,26,554,10,2,2,2,2,1,2,9,8
176991,2007,2008,1,1,914,26,554,10,2,2,2,2,1,2,9,8
80530,1993,2008,15,1,644,2,523,20,6,2,0,1,0,5,14,17
86283,1993,2008,15,1,644,12,523,20,6,2,0,1,0,5,14,17
126106,1993,2008,15,1,914,17,523,20,6,2,0,1,0,5,14,17
207964,1986,2008,22,1,1377,10,713,27,5,1,1,0,1,1,9,6
198230,2007,2008,1,1,868,11,0,16,3,1,2,1,2,2,9,10
203539,2007,2008,1,1,868,24,0,16,3,1,2,1,2,2,9,10
194690,2007,2008,1,1,868,10,0,16,3,1,2,1,2,2,9,10
351769,2007,2008,1,1,1387,41,0,16,3,1,2,1,2,2,9,10
119292,1986,2008,22,1,914,4,713,27,5,1,1,0,1,1,9,6
193805,2007,2008,1,1,868,14,0,16,3,1,2,1,2,2,9,10
221238,2006,2008,2,1,1192,4,123,11,3,1,1,1,0,1,8,11
150442,1986,2008,22,1,1131,3,713,27,5,1,1,0,1,1,9,6
191150,2007,2008,1,1,868,17,0,16,3,1,2,1,2,2,9,10
110619,1997,2008,11,2,914,13,82,4,7,1,2,1,1,3,13,7
61946,1985,2008,23,2,587,8,80,2,5,1,2,1,1,0,12,4
283185,2007,2008,1,2,1483,4,7,5,4,1,2,1,1,1,9,5
383185,2007,2008,1,2,1483,17,7,5,4,1,2,1,1,1,9,5
357522,2007,2008,1,2,1334,25,7,5,4,1,2,1,1,1,9,5
337168,2007,2008,1,2,1273,27,7,5,4,1,2,1,1,1,9,5
93805,1986,2008,22,2,910,11,100,2,5,1,2,1,1,2,11,13
197345,2006,2008,2,2,914,15,249,11,1,1,0,1,0,2,3,7
101327,1993,2008,15,2,644,11,523,20,6,2,0,1,0,5,14,17
146017,1993,2008,15,2,914,10,523,20,6,2,0,1,0,5,14,17
243362,1993,2008,15,2,2337,14,523,20,6,2,0,1,0,5,14,17
69026,1992,2008,16,2,640,11,200,10,7,1,1,1,1,5,16,17
79646,1993,2008,15,2,644,4,523,20,6,2,0,1,0,5,14,17
295575,2007,2008,1,2,1394,20,554,10,2,2,2,2,1,2,9,8
64601,1992,2008,16,2,576,10,200,10,7,1,1,1,1,5,16,17
127433,1993,2008,15,2,914,14,523,20,6,2,0,1,0,5,14,17
66371,1992,2008,16,2,640,1,200,10,7,1,1,1,1,5,16,17
160637,2007,2008,1,2,914,11,554,10,2,2,2,2,1,2,9,8
35398,1992,2008,16,2,355,15,200,10,7,1,1,1,1,5,16,17
256637,2007,2008,1,2,1366,12,554,10,2,2,2,2,1,2,9,8
254867,1986,2008,22,2,1796,9,713,27,5,1,1,0,1,1,9,6
176991,2007,2008,1,2,868,15,0,16,3,1,2,1,2,2,9,10
188495,2007,2008,1,2,868,3,0,16,3,1,2,1,2,2,9,10
176106,2006,2008,2,2,903,1,123,11,3,1,1,1,0,1,8,11
428318,2007,2008,1,2,1643,20,0,16,3,1,2,1,2,2,9,10
176106,2006,2008,2,2,903,1,123,11,3,1,1,1,0,1,8,11
166371,1986,2008,22,2,1131,9,713,27,5,1,1,0,1,1,9,6
151769,1986,2008,22,2,914,11,713,27,5,1,1,0,1,1,9,6
150442,1986,2008,22,2,1131,1,713,27,5,1,1,0,1,1,9,6
115929,1997,2008,11,3,914,13,82,4,7,1,2,1,1,3,13,7
63274,1997,2008,11,3,558,11,82,4,7,1,2,1,1,3,13,7
219469,2006,2008,2,3,910,16,111,0,2,1,1,1,0,2,6,9
123893,2003,2008,5,3,907,7,82,4,7,1,2,1,1,3,13,7
59734,1985,2008,23,3,587,9,80,2,5,1,2,1,1,0,12,4
60176,1985,2008,23,3,587,5,80,2,5,1,2,1,1,0,12,4
327433,2007,2008,1,3,1273,22,7,5,4,1,2,1,1,1,9,5
307964,2007,2008,1,3,1273,9,7,5,4,1,2,1,1,1,9,5
448672,2007,2008,1,3,1690,16,7,5,4,1,2,1,1,1,9,5
370796,2007,2008,1,3,1483,18,7,5,4,1,2,1,1,1,9,5
347787,2007,2008,1,3,1690,11,7,5,4,1,2,1,1,1,9,5
462831,2007,2008,1,3,1690,22,7,5,4,1,2,1,1,1,9,5
448672,2007,2008,1,3,1690,15,7,5,4,1,2,1,1,1,9,5
435398,2007,2008,1,3,1690,7,7,5,4,1,2,1,1,1,9,5
51327,1986,2008,22,3,508,2,100,2,5,1,2,1,1,2,11,13
269911,2006,2008,2,3,1149,28,249,11,1,1,0,1,0,2,3,7
256637,2006,2008,2,3,1437,3,249,11,1,1,0,1,0,2,3,7
272566,2006,2008,2,3,1412,22,249,11,1,1,0,1,0,2,3,7
178761,2005,2008,3,3,914,24,67,0,5,2,0,1,0,4,13,15
194690,2007,2008,1,3,1103,3,554,10,2,2,2,2,1,2,9,8
174336,1993,2008,15,3,1451,5,523,20,6,2,0,1,0,5,14,17
37787,1992,2008,16,3,355,15,200,10,7,1,1,1,1,5,16,17
161946,2005,2008,3,3,914,18,67,0,5,2,0,1,0,4,13,15
70796,1992,2008,16,3,644,4,142,8,5,1,1,1,0,4,9,14
84955,1993,2008,15,3,644,15,523,20,6,2,0,1,0,5,14,17
92035,1993,2008,15,3,644,8,523,20,6,2,0,1,0,5,14,17
90707,1993,2008,15,3,644,6,523,20,6,2,0,1,0,5,14,17
194690,1993,2008,15,3,1288,16,523,20,6,2,0,1,0,5,14,17
153539,2005,2008,3,3,743,17,67,0,5,2,0,1,0,4,13,15
122389,1993,2008,15,3,914,18,523,20,6,2,0,1,0,5,14,17
123893,1993,2008,15,3,914,2,523,20,6,2,0,1,0,5,14,17
341592,2007,2008,1,3,1448,29,554,10,2,2,2,2,1,2,9,8
37168,1992,2008,16,3,355,14,200,10,7,1,1,1,1,5,16,17
124778,1993,2008,15,3,914,21,523,20,6,2,0,1,0,5,14,17
222123,2007,2008,1,3,1103,24,554,10,2,2,2,2,1,2,9,8
207964,2007,2008,1,3,1103,6,554,10,2,2,2,2,1,2,9,8
168141,1993,2008,15,3,1451,3,523,20,6,2,0,1,0,5,14,17
80530,1992,2008,16,3,644,15,142,8,5,1,1,1,0,4,9,14
169911,1986,2008,22,3,1377,2,713,27,5,1,1,0,1,1,9,6
207079,2007,2008,1,3,868,19,0,16,3,1,2,1,2,2,9,10
381663,2007,2008,1,3,1387,31,0,16,3,1,2,1,2,2,9,10
184955,1986,2008,22,3,1377,5,713,27,5,1,1,0,1,1,9,6
356637,2007,2008,1,3,1387,23,0,16,3,1,2,1,2,2,9,10
207079,2007,2008,1,3,868,18,0,16,3,1,2,1,2,2,9,10
184070,2007,2008,1,3,868,4,0,16,3,1,2,1,2,2,9,10
170796,1986,2008,22,3,1131,12,713,27,5,1,1,0,1,1,9,6
147787,1986,2008,22,3,914,1,713,27,5,1,1,0,1,1,9,6
442477,2007,2008,1,3,1643,43,0,16,3,1,2,1,2,2,9,10
150442,1986,2008,22,3,1131,11,713,27,5,1,1,0,1,1,9,6
408849,2007,2008,1,3,1643,5,0,16,3,1,2,1,2,2,9,10
70796,1985,2008,23,4,676,8,80,2,5,1,2,1,1,0,12,4
57522,1985,2008,23,4,587,7,80,2,5,1,2,1,1,0,12,4
383185,2007,2008,1,4,1444,10,7,5,4,1,2,1,1,1,9,5
382300,2007,2008,1,4,1483,20,7,5,4,1,2,1,1,1,9,5
462831,2007,2008,1,4,1690,23,7,5,4,1,2,1,1,1,9,5
371681,2007,2008,1,4,1483,7,7,5,4,1,2,1,1,1,9,5
373451,2007,2008,1,4,1483,24,7,5,4,1,2,1,1,1,9,5
347787,2007,2008,1,4,1334,10,7,5,4,1,2,1,1,1,9,5
383185,2007,2008,1,4,1483,16,7,5,4,1,2,1,1,1,9,5
48672,1986,2008,22,4,508,6,100,2,5,1,2,1,1,2,11,13
191150,2006,2008,2,4,914,7,249,11,1,1,0,1,0,2,3,7
272566,2006,2008,2,4,1437,10,249,11,1,1,0,1,0,2,3,7
212389,1993,2008,15,4,1761,15,523,20,6,2,0,1,0,5,14,17
86725,1992,2008,16,4,644,13,142,8,5,1,1,1,0,4,9,14
247787,2007,2008,1,4,1448,31,554,10,2,2,2,2,1,2,9,8
128318,1993,2008,15,4,914,4,523,20,6,2,0,1,0,5,14,17
85132,1993,2008,15,4,644,17,523,20,6,2,0,1,0,5,14,17
265486,2007,2008,1,4,1366,17,554,10,2,2,2,2,1,2,9,8
162831,1993,2008,15,4,1451,18,523,20,6,2,0,1,0,5,14,17
84955,1993,2008,15,4,644,15,523,20,6,2,0,1,0,5,14,17
89380,1993,2008,15,4,644,3,523,20,6,2,0,1,0,5,14,17
185840,2005,2008,3,4,914,20,67,0,5,2,0,1,0,4,13,15
38938,1992,2008,16,4,355,13,200,10,7,1,1,1,1,5,16,17
221238,1993,2008,15,4,2337,9,523,20,6,2,0,1,0,5,14,17
164601,1986,2008,22,4,1131,12,713,27,5,1,1,0,1,1,9,6
176106,1986,2008,22,4,1377,2,713,27,5,1,1,0,1,1,9,6
142920,2006,2008,2,5,814,17,111,0,2,1,1,1,0,2,6,9
66371,1985,2008,23,5,587,6,80,2,5,1,2,1,1,0,12,4
72123,1985,2008,23,5,676,9,80,2,5,1,2,1,1,0,12,4
44690,1985,2008,23,5,498,7,80,2,5,1,2,1,1,0,12,4
448672,2007,2008,1,5,1690,12,7,5,4,1,2,1,1,1,9,5
383185,2007,2008,1,5,1483,15,7,5,4,1,2,1,1,1,9,5
307964,2007,2008,1,5,1273,7,7,5,4,1,2,1,1,1,9,5
53097,1986,2008,22,5,451,13,100,2,5,1,2,1,1,2,11,13
53982,1986,2008,22,5,451,9,100,2,5,1,2,1,1,2,11,13
265486,2006,2008,2,5,1437,28,249,11,1,1,0,1,0,2,3,7
265486,2006,2008,2,5,1437,20,249,11,1,1,0,1,0,2,3,7
173451,2005,2008,3,5,914,6,67,0,5,2,0,1,0,4,13,15
141592,2005,2008,3,5,743,9,67,0,5,2,0,1,0,4,13,15
65929,1992,2008,16,5,576,7,200,10,7,1,1,1,1,5,16,17
185840,1993,2008,15,5,1761,17,523,20,6,2,0,1,0,5,14,17
265486,2007,2008,1,5,1103,9,554,10,2,2,2,2,1,2,9,8
181415,1993,2008,15,5,1451,19,523,20,6,2,0,1,0,5,14,17
127433,1993,2008,15,5,914,14,523,20,6,2,0,1,0,5,14,17
181415,1993,2008,15,5,1761,1,523,20,6,2,0,1,0,5,14,17
144247,2005,2008,3,5,743,7,67,0,5,2,0,1,0,4,13,15
183628,2005,2008,3,5,914,16,67,0,5,2,0,1,0,4,13,15
44247,1992,2008,16,5,576,4,200,10,7,1,1,1,1,5,16,17
185840,1993,2008,15,5,2337,24,523,20,6,2,0,1,0,5,14,17
291238,2007,2008,1,5,1394,11,554,10,2,2,2,2,1,2,9,8
291238,2007,2008,1,5,1394,11,554,10,2,2,2,2,1,2,9,8
277876,2007,2008,1,5,1419,11,554,10,2,2,2,2,1,2,9,8
137168,1993,2008,15,5,914,23,523,20,6,2,0,1,0,5,14,17
176991,2006,2008,2,5,903,4,123,11,3,1,1,1,0,1,8,11
198230,1986,2008,22,5,1377,4,713,27,5,1,1,0,1,1,9,6
332743,2007,2008,1,5,1387,24,0,16,3,1,2,1,2,2,9,10
69911,1997,2008,11,6,558,12,82,4,7,1,2,1,1,3,13,7
194690,2006,2008,2,6,910,12,111,0,2,1,1,1,0,2,6,9
55752,1985,2008,23,6,587,9,80,2,5,1,2,1,1,0,12,4
61061,1985,2008,23,6,587,7,80,2,5,1,2,1,1,0,12,4
326548,2007,2008,1,6,1334,4,7,5,4,1,2,1,1,1,9,5
360176,2007,2008,1,6,1483,4,7,5,4,1,2,1,1,1,9,5
289380,2007,2008,1,6,1273,3,7,5,4,1,2,1,1,1,9,5
307964,2007,2008,1,6,1273,8,7,5,4,1,2,1,1,1,9,5
371681,2007,2008,1,6,1483,8,7,5,4,1,2,1,1,1,9,5
317699,2007,2008,1,6,1273,10,7,5,4,1,2,1,1,1,9,5
315929,2007,2008,1,6,1334,3,7,5,4,1,2,1,1,1,9,5
346017,2006,2008,2,6,2056,15,249,11,1,1,0,1,0,2,3,7
171681,2005,2008,3,6,914,12,67,0,5,2,0,1,0,4,13,15
268849,2007,2008,1,6,1419,4,554,10,2,2,2,2,1,2,9,8
172566,2005,2008,3,6,914,21,67,0,5,2,0,1,0,4,13,15
353982,2007,2008,1,6,1366,21,554,10,2,2,2,2,1,2,9,8
128318,1993,2008,15,6,914,15,523,20,6,2,0,1,0,5,14,17
283185,2007,2008,1,6,1366,11,554,10,2,2,2,2,1,2,9,8
169911,2005,2008,3,6,914,10,67,0,5,2,0,1,0,4,13,15
38053,1992,2008,16,6,355,5,200,10,7,1,1,1,1,5,16,17
221238,2007,2008,1,6,1103,16,554,10,2,2,2,2,1,2,9,8
159292,2005,2008,3,6,914,21,67,0,5,2,0,1,0,4,13,15
129646,1993,2008,15,6,914,14,523,20,6,2,0,1,0,5,14,17
176991,1993,2008,15,6,1288,13,523,20,6,2,0,1,0,5,14,17
225663,2005,2008,3,6,1184,20,67,0,5,2,0,1,0,4,13,15
92035,1993,2008,15,6,644,10,523,20,6,2,0,1,0,5,14,17
38584,1992,2008,16,6,355,9,200,10,7,1,1,1,1,5,16,17
225663,2007,2008,1,6,868,20,0,16,3,1,2,1,2,2,9,10
333628,2007,2008,1,6,1387,17,0,16,3,1,2,1,2,2,9,10
185840,2007,2008,1,6,868,6,0,16,3,1,2,1,2,2,9,10
163716,1986,2008,22,6,1131,7,713,27,5,1,1,0,1,1,9,6
167964,2006,2008,2,6,903,14,123,11,3,1,1,1,0,1,8,11
348672,2007,2008,1,6,1387,38,0,16,3,1,2,1,2,2,9,10
362831,2007,2008,1,6,1387,35,0,16,3,1,2,1,2,2,9,10
333628,2007,2008,1,6,1387,14,0,16,3,1,2,1,2,2,9,10
168141,2006,2008,2,6,903,1,123,11,3,1,1,1,0,1,8,11
199115,2007,2008,1,6,868,9,0,16,3,1,2,1,2,2,9,10
141592,1978,2008,30,6,903,8,87,4,3,2,1,1,0,2,7,11
194690,2007,2008,1,6,868,8,0,16,3,1,2,1,2,2,9,10
346017,2007,2008,1,6,1387,17,0,16,3,1,2,1,2,2,9,10
317699,2007,2008,1,7,1483,11,7,5,4,1,2,1,1,1,9,5
383185,2007,2008,1,7,1483,19,7,5,4,1,2,1,1,1,9,5
348672,2007,2008,1,7,1483,5,7,5,4,1,2,1,1,1,9,5
408849,2007,2008,1,7,1690,3,7,5,4,1,2,1,1,1,9,5
337168,2007,2008,1,7,1483,3,7,5,4,1,2,1,1,1,9,5
348672,2007,2008,1,7,1483,4,7,5,4,1,2,1,1,1,9,5
340707,2006,2008,2,7,1743,6,249,11,1,1,0,1,0,2,3,7
380530,2006,2008,2,7,2056,17,249,11,1,1,0,1,0,2,3,7
380530,2006,2008,2,7,2056,26,249,11,1,1,0,1,0,2,3,7
58849,1992,2008,16,7,576,1,200,10,7,1,1,1,1,5,16,17
61946,1992,2008,16,7,576,12,200,10,7,1,1,1,1,5,16,17
137168,1993,2008,15,7,914,10,523,20,6,2,0,1,0,5,14,17
121238,1993,2008,15,7,914,3,523,20,6,2,0,1,0,5,14,17
65486,1992,2008,16,7,576,11,200,10,7,1,1,1,1,5,16,17
141592,2005,2008,3,7,743,14,67,0,5,2,0,1,0,4,13,15
68141,1992,2008,16,7,644,6,200,10,7,1,1,1,1,5,16,17
92035,1993,2008,15,7,644,11,523,20,6,2,0,1,0,5,14,17
230088,2005,2008,3,7,1184,10,67,0,5,2,0,1,0,4,13,15
80530,1993,2008,15,7,644,1,523,20,6,2,0,1,0,5,14,17
48672,1992,2008,16,7,576,3,200,10,7,1,1,1,1,5,16,17
38053,1992,2008,16,7,355,2,200,10,7,1,1,1,1,5,16,17
185840,1993,2008,15,7,1451,21,523,20,6,2,0,1,0,5,14,17
123008,1986,2008,22,7,1131,1,713,27,5,1,1,0,1,1,9,6
132743,1986,2008,22,7,914,7,713,27,5,1,1,0,1,1,9,6
151327,1986,2008,22,7,1131,3,713,27,5,1,1,0,1,1,9,6
398230,2007,2008,1,7,1519,26,0,16,3,1,2,1,2,2,9,10
190265,1986,2008,22,7,1377,9,713,27,5,1,1,0,1,1,9,6
165929,1986,2008,22,7,1313,4,713,27,5,1,1,0,1,1,9,6
408849,2007,2008,1,8,1690,3,7,5,4,1,2,1,1,1,9,5
307964,2007,2008,1,8,1273,6,7,5,4,1,2,1,1,1,9,5
383185,2007,2008,1,8,1483,17,7,5,4,1,2,1,1,1,9,5
371681,2007,2008,1,8,1483,6,7,5,4,1,2,1,1,1,9,5
348672,2007,2008,1,8,1483,3,7,5,4,1,2,1,1,1,9,5
360176,2007,2008,1,8,1483,6,7,5,4,1,2,1,1,1,9,5
278761,2006,2008,2,8,1743,5,249,11,1,1,0,1,0,2,3,7
380530,2006,2008,2,8,2056,11,249,11,1,1,0,1,0,2,3,7
204424,2006,2008,2,8,914,13,249,11,1,1,0,1,0,2,3,7
