ID,SalePrice,YearBuilt,YrSold,Size,Floor,N_Parkinglot,N_elevators,N_FacilitiesNearBy,N_FacilitiesNearBy,N_FacilitiesNearBy,N_SchoolNearBy
89,61946,1992,2007,576,8,0,10,7,1,1,5
90,81858,1992,2007,644,16,79,8,5,1,1,4
91,60176,1992,2007,576,11,0,10,7,1,1,5
92,191150,2007,2007,868,8,1270,16,3,1,1,2
93,408849,2007,2007,1643,4,1270,16,3,1,1,2
94,162831,1986,2007,1131,5,0,27,5,1,0,1
95,203539,2007,2007,868,21,1270,16,3,1,1,2
96,94690,1986,2007,910,16,18,2,5,1,1,3
97,242920,2006,2007,1437,4,536,11,1,1,1,1
98,307964,2006,2007,1743,15,536,11,1,1,1,1
99,287486,2007,2007,1366,19,524,10,2,2,2,2
100,285840,2007,2007,1366,20,524,10,2,2,2,2
101,132743,1993,2007,914,16,536,20,6,2,1,5
102,176991,2007,2007,914,30,524,10,2,2,2,2
103,323982,2007,2007,1448,30,524,10,2,2,2,2
104,92035,1993,2007,644,15,536,20,6,2,1,5
105,115044,1993,2007,914,9,536,20,6,2,1,5
106,137168,1993,2007,914,21,536,20,6,2,1,5
107,265486,2007,2007,1394,24,524,10,2,2,2,2
108,97345,1993,2007,644,17,536,20,6,2,1,5
109,199469,2007,2007,1103,17,524,10,2,2,2,2
110,290000,2007,2007,1366,18,524,10,2,2,2,2
111,82300,1993,2007,644,8,536,20,6,2,1,5
112,134513,1993,2007,914,11,536,20,6,2,1,5
113,201769,2007,2007,868,24,1270,16,3,1,1,2
114,185840,1986,2007,1131,5,0,27,5,1,0,1
115,174336,1986,2007,1131,11,0,27,5,1,0,1
116,319469,2007,2007,1387,30,1270,16,3,1,1,2
117,170796,1986,2007,1377,2,0,27,5,1,0,1
118,112389,1997,2008,914,11,56,4,7,1,1,0
119,72566,1985,2008,676,6,76,2,5,1,1,1
120,448672,2007,2008,1690,18,605,5,4,1,1,1
121,462831,2007,2008,1690,20,605,5,4,1,1,1
122,317699,2007,2008,1273,13,605,5,4,1,1,1
123,295460,2007,2008,1273,18,605,5,4,1,1,1
124,44247,1986,2008,508,1,18,2,5,1,1,3
125,51327,1986,2008,508,11,18,2,5,1,1,3
126,52212,1986,2008,547,4,18,2,5,1,1,3
127,265486,2006,2008,1437,28,536,11,1,1,1,1
128,38761,1992,2008,355,3,0,10,7,1,1,5
129,39823,1992,2008,355,12,0,10,7,1,1,5
130,84070,1993,2008,644,21,536,20,6,2,1,5
131,212389,2005,2008,1184,17,798,0,5,2,1,4
132,225663,2007,2008,1103,14,524,10,2,2,2,2
133,151327,2005,2008,743,10,798,0,5,2,1,4
134,91150,1993,2008,644,20,536,20,6,2,1,5
135,131415,2005,2008,743,3,798,0,5,2,1,4
136,135398,1993,2008,914,10,536,20,6,2,1,5
137,163539,2007,2008,914,26,524,10,2,2,2,2
138,176991,2007,2008,914,26,524,10,2,2,2,2
139,80530,1993,2008,644,2,536,20,6,2,1,5
140,86283,1993,2008,644,12,536,20,6,2,1,5
141,126106,1993,2008,914,17,536,20,6,2,1,5
142,207964,1986,2008,1377,10,0,27,5,1,0,1
143,198230,2007,2008,868,11,1270,16,3,1,1,2
144,203539,2007,2008,868,24,1270,16,3,1,1,2
145,194690,2007,2008,868,10,1270,16,3,1,1,2
146,351769,2007,2008,1387,41,1270,16,3,1,1,2
147,119292,1986,2008,914,4,0,27,5,1,0,1
148,193805,2007,2008,868,14,1270,16,3,1,1,2
149,221238,2006,2008,1192,4,181,11,3,1,1,3
150,150442,1986,2008,1131,3,0,27,5,1,0,1
151,191150,2007,2008,868,17,1270,16,3,1,1,2
152,110619,1997,2008,914,13,56,4,7,1,1,0
153,61946,1985,2008,587,8,76,2,5,1,1,1
154,283185,2007,2008,1483,4,605,5,4,1,1,1
155,383185,2007,2008,1483,17,605,5,4,1,1,1
156,357522,2007,2008,1334,25,605,5,4,1,1,1
157,337168,2007,2008,1273,27,605,5,4,1,1,1
158,93805,1986,2008,910,11,18,2,5,1,1,3
159,197345,2006,2008,914,15,536,11,1,1,1,1
160,101327,1993,2008,644,11,536,20,6,2,1,5
161,146017,1993,2008,914,10,536,20,6,2,1,5
162,243362,1993,2008,2337,14,536,20,6,2,1,5
163,69026,1992,2008,640,11,0,10,7,1,1,5
164,79646,1993,2008,644,4,536,20,6,2,1,5
165,295575,2007,2008,1394,20,524,10,2,2,2,2
166,64601,1992,2008,576,10,0,10,7,1,1,5
167,127433,1993,2008,914,14,536,20,6,2,1,5
168,66371,1992,2008,640,1,0,10,7,1,1,5
169,160637,2007,2008,914,11,524,10,2,2,2,2
170,35398,1992,2008,355,15,0,10,7,1,1,5
171,256637,2007,2008,1366,12,524,10,2,2,2,2
172,254867,1986,2008,1796,9,0,27,5,1,0,1
173,176991,2007,2008,868,15,1270,16,3,1,1,2
174,188495,2007,2008,868,3,1270,16,3,1,1,2
175,176106,2006,2008,903,1,181,11,3,1,1,3
176,428318,2007,2008,1643,20,1270,16,3,1,1,2
177,176106,2006,2008,903,1,181,11,3,1,1,3
178,166371,1986,2008,1131,9,0,27,5,1,0,1
179,151769,1986,2008,914,11,0,27,5,1,0,1
180,150442,1986,2008,1131,1,0,27,5,1,0,1
181,115929,1997,2008,914,13,56,4,7,1,1,0
182,63274,1997,2008,558,11,56,4,7,1,1,0
183,219469,2006,2008,910,16,184,0,2,1,1,2
184,123893,2003,2008,907,7,56,4,7,1,1,0
185,59734,1985,2008,587,9,76,2,5,1,1,1
186,60176,1985,2008,587,5,76,2,5,1,1,1
187,327433,2007,2008,1273,22,605,5,4,1,1,1
188,307964,2007,2008,1273,9,605,5,4,1,1,1
189,448672,2007,2008,1690,16,605,5,4,1,1,1
190,370796,2007,2008,1483,18,605,5,4,1,1,1
191,347787,2007,2008,1690,11,605,5,4,1,1,1
192,462831,2007,2008,1690,22,605,5,4,1,1,1
193,448672,2007,2008,1690,15,605,5,4,1,1,1
194,435398,2007,2008,1690,7,605,5,4,1,1,1
195,51327,1986,2008,508,2,18,2,5,1,1,3
196,269911,2006,2008,1149,28,536,11,1,1,1,1
197,256637,2006,2008,1437,3,536,11,1,1,1,1
198,272566,2006,2008,1412,22,536,11,1,1,1,1
199,178761,2005,2008,914,24,798,0,5,2,1,4
200,194690,2007,2008,1103,3,524,10,2,2,2,2
201,174336,1993,2008,1451,5,536,20,6,2,1,5
202,37787,1992,2008,355,15,0,10,7,1,1,5
203,161946,2005,2008,914,18,798,0,5,2,1,4
204,70796,1992,2008,644,4,79,8,5,1,1,4
205,84955,1993,2008,644,15,536,20,6,2,1,5
206,92035,1993,2008,644,8,536,20,6,2,1,5
207,90707,1993,2008,644,6,536,20,6,2,1,5
208,194690,1993,2008,1288,16,536,20,6,2,1,5
209,153539,2005,2008,743,17,798,0,5,2,1,4
210,122389,1993,2008,914,18,536,20,6,2,1,5
211,123893,1993,2008,914,2,536,20,6,2,1,5
212,341592,2007,2008,1448,29,524,10,2,2,2,2
213,37168,1992,2008,355,14,0,10,7,1,1,5
214,124778,1993,2008,914,21,536,20,6,2,1,5
215,222123,2007,2008,1103,24,524,10,2,2,2,2
216,207964,2007,2008,1103,6,524,10,2,2,2,2
217,168141,1993,2008,1451,3,536,20,6,2,1,5
218,80530,1992,2008,644,15,79,8,5,1,1,4
219,169911,1986,2008,1377,2,0,27,5,1,0,1
220,207079,2007,2008,868,19,1270,16,3,1,1,2
221,381663,2007,2008,1387,31,1270,16,3,1,1,2
222,184955,1986,2008,1377,5,0,27,5,1,0,1
223,356637,2007,2008,1387,23,1270,16,3,1,1,2
224,207079,2007,2008,868,18,1270,16,3,1,1,2
225,184070,2007,2008,868,4,1270,16,3,1,1,2
226,170796,1986,2008,1131,12,0,27,5,1,0,1
227,147787,1986,2008,914,1,0,27,5,1,0,1
228,442477,2007,2008,1643,43,1270,16,3,1,1,2
229,150442,1986,2008,1131,11,0,27,5,1,0,1
230,408849,2007,2008,1643,5,1270,16,3,1,1,2
231,70796,1985,2008,676,8,76,2,5,1,1,1
232,57522,1985,2008,587,7,76,2,5,1,1,1
233,383185,2007,2008,1444,10,605,5,4,1,1,1
234,382300,2007,2008,1483,20,605,5,4,1,1,1
235,462831,2007,2008,1690,23,605,5,4,1,1,1
236,371681,2007,2008,1483,7,605,5,4,1,1,1
237,373451,2007,2008,1483,24,605,5,4,1,1,1
238,347787,2007,2008,1334,10,605,5,4,1,1,1
239,383185,2007,2008,1483,16,605,5,4,1,1,1
240,48672,1986,2008,508,6,18,2,5,1,1,3
241,191150,2006,2008,914,7,536,11,1,1,1,1
242,272566,2006,2008,1437,10,536,11,1,1,1,1
243,212389,1993,2008,1761,15,536,20,6,2,1,5
244,86725,1992,2008,644,13,79,8,5,1,1,4
245,247787,2007,2008,1448,31,524,10,2,2,2,2
246,128318,1993,2008,914,4,536,20,6,2,1,5
247,85132,1993,2008,644,17,536,20,6,2,1,5
248,265486,2007,2008,1366,17,524,10,2,2,2,2
249,162831,1993,2008,1451,18,536,20,6,2,1,5
250,84955,1993,2008,644,15,536,20,6,2,1,5
251,89380,1993,2008,644,3,536,20,6,2,1,5
252,185840,2005,2008,914,20,798,0,5,2,1,4
253,38938,1992,2008,355,13,0,10,7,1,1,5
254,221238,1993,2008,2337,9,536,20,6,2,1,5
255,164601,1986,2008,1131,12,0,27,5,1,0,1
256,176106,1986,2008,1377,2,0,27,5,1,0,1
257,142920,2006,2008,814,17,184,0,2,1,1,2
258,66371,1985,2008,587,6,76,2,5,1,1,1
259,72123,1985,2008,676,9,76,2,5,1,1,1
260,44690,1985,2008,498,7,76,2,5,1,1,1
261,448672,2007,2008,1690,12,605,5,4,1,1,1
262,383185,2007,2008,1483,15,605,5,4,1,1,1
263,307964,2007,2008,1273,7,605,5,4,1,1,1
264,53097,1986,2008,451,13,18,2,5,1,1,3
265,53982,1986,2008,451,9,18,2,5,1,1,3
266,265486,2006,2008,1437,28,536,11,1,1,1,1
267,265486,2006,2008,1437,20,536,11,1,1,1,1
268,173451,2005,2008,914,6,798,0,5,2,1,4
269,141592,2005,2008,743,9,798,0,5,2,1,4
270,65929,1992,2008,576,7,0,10,7,1,1,5
271,185840,1993,2008,1761,17,536,20,6,2,1,5
272,265486,2007,2008,1103,9,524,10,2,2,2,2
273,181415,1993,2008,1451,19,536,20,6,2,1,5
274,127433,1993,2008,914,14,536,20,6,2,1,5
275,181415,1993,2008,1761,1,536,20,6,2,1,5
276,144247,2005,2008,743,7,798,0,5,2,1,4
277,183628,2005,2008,914,16,798,0,5,2,1,4
278,44247,1992,2008,576,4,0,10,7,1,1,5
279,185840,1993,2008,2337,24,536,20,6,2,1,5
280,291238,2007,2008,1394,11,524,10,2,2,2,2
281,291238,2007,2008,1394,11,524,10,2,2,2,2
282,277876,2007,2008,1419,11,524,10,2,2,2,2
283,137168,1993,2008,914,23,536,20,6,2,1,5
284,176991,2006,2008,903,4,181,11,3,1,1,3
285,198230,1986,2008,1377,4,0,27,5,1,0,1
286,332743,2007,2008,1387,24,1270,16,3,1,1,2
287,69911,1997,2008,558,12,56,4,7,1,1,0
288,194690,2006,2008,910,12,184,0,2,1,1,2
289,55752,1985,2008,587,9,76,2,5,1,1,1
290,61061,1985,2008,587,7,76,2,5,1,1,1
291,326548,2007,2008,1334,4,605,5,4,1,1,1
292,360176,2007,2008,1483,4,605,5,4,1,1,1
293,289380,2007,2008,1273,3,605,5,4,1,1,1
294,307964,2007,2008,1273,8,605,5,4,1,1,1
295,371681,2007,2008,1483,8,605,5,4,1,1,1
296,317699,2007,2008,1273,10,605,5,4,1,1,1
297,315929,2007,2008,1334,3,605,5,4,1,1,1
298,346017,2006,2008,2056,15,536,11,1,1,1,1
299,171681,2005,2008,914,12,798,0,5,2,1,4
300,268849,2007,2008,1419,4,524,10,2,2,2,2
301,172566,2005,2008,914,21,798,0,5,2,1,4
302,353982,2007,2008,1366,21,524,10,2,2,2,2
303,128318,1993,2008,914,15,536,20,6,2,1,5
304,283185,2007,2008,1366,11,524,10,2,2,2,2
305,169911,2005,2008,914,10,798,0,5,2,1,4
306,38053,1992,2008,355,5,0,10,7,1,1,5
307,221238,2007,2008,1103,16,524,10,2,2,2,2
308,159292,2005,2008,914,21,798,0,5,2,1,4
309,129646,1993,2008,914,14,536,20,6,2,1,5
310,176991,1993,2008,1288,13,536,20,6,2,1,5
311,225663,2005,2008,1184,20,798,0,5,2,1,4
312,92035,1993,2008,644,10,536,20,6,2,1,5
313,38584,1992,2008,355,9,0,10,7,1,1,5
314,225663,2007,2008,868,20,1270,16,3,1,1,2
315,333628,2007,2008,1387,17,1270,16,3,1,1,2
316,185840,2007,2008,868,6,1270,16,3,1,1,2
317,163716,1986,2008,1131,7,0,27,5,1,0,1
318,167964,2006,2008,903,14,181,11,3,1,1,3
319,348672,2007,2008,1387,38,1270,16,3,1,1,2
320,362831,2007,2008,1387,35,1270,16,3,1,1,2
321,333628,2007,2008,1387,14,1270,16,3,1,1,2
322,168141,2006,2008,903,1,181,11,3,1,1,3
323,199115,2007,2008,868,9,1270,16,3,1,1,2
324,141592,1978,2008,903,8,0,4,3,2,1,3
325,194690,2007,2008,868,8,1270,16,3,1,1,2
326,346017,2007,2008,1387,17,1270,16,3,1,1,2
327,317699,2007,2008,1483,11,605,5,4,1,1,1
328,383185,2007,2008,1483,19,605,5,4,1,1,1
329,348672,2007,2008,1483,5,605,5,4,1,1,1
330,408849,2007,2008,1690,3,605,5,4,1,1,1
331,337168,2007,2008,1483,3,605,5,4,1,1,1
332,348672,2007,2008,1483,4,605,5,4,1,1,1
333,340707,2006,2008,1743,6,536,11,1,1,1,1
334,380530,2006,2008,2056,17,536,11,1,1,1,1
335,380530,2006,2008,2056,26,536,11,1,1,1,1
336,58849,1992,2008,576,1,0,10,7,1,1,5
337,61946,1992,2008,576,12,0,10,7,1,1,5
338,137168,1993,2008,914,10,536,20,6,2,1,5
339,121238,1993,2008,914,3,536,20,6,2,1,5
340,65486,1992,2008,576,11,0,10,7,1,1,5
341,141592,2005,2008,743,14,798,0,5,2,1,4
342,68141,1992,2008,644,6,0,10,7,1,1,5
343,92035,1993,2008,644,11,536,20,6,2,1,5
344,230088,2005,2008,1184,10,798,0,5,2,1,4
345,80530,1993,2008,644,1,536,20,6,2,1,5
346,48672,1992,2008,576,3,0,10,7,1,1,5
347,38053,1992,2008,355,2,0,10,7,1,1,5
348,185840,1993,2008,1451,21,536,20,6,2,1,5
349,123008,1986,2008,1131,1,0,27,5,1,0,1
350,132743,1986,2008,914,7,0,27,5,1,0,1
351,151327,1986,2008,1131,3,0,27,5,1,0,1
352,398230,2007,2008,1519,26,1270,16,3,1,1,2
353,190265,1986,2008,1377,9,0,27,5,1,0,1
354,165929,1986,2008,1313,4,0,27,5,1,0,1
355,408849,2007,2008,1690,3,605,5,4,1,1,1
356,307964,2007,2008,1273,6,605,5,4,1,1,1
357,383185,2007,2008,1483,17,605,5,4,1,1,1
358,371681,2007,2008,1483,6,605,5,4,1,1,1
359,348672,2007,2008,1483,3,605,5,4,1,1,1
360,360176,2007,2008,1483,6,605,5,4,1,1,1
361,278761,2006,2008,1743,5,536,11,1,1,1,1
362,380530,2006,2008,2056,11,536,11,1,1,1,1
363,204424,2006,2008,914,13,536,11,1,1,1,1
364,75221,1993,2008,644,21,536,20,6,2,1,5
365,84070,1993,2008,644,6,536,20,6,2,1,5
366,92035,1993,2008,644,18,536,20,6,2,1,5
367,79646,1992,2008,644,10,79,8,5,1,1,4
368,204424,1993,2008,2337,14,536,20,6,2,1,5
369,252212,2007,2008,914,13,524,10,2,2,2,2
370,194690,1993,2008,2337,12,536,20,6,2,1,5
371,63716,1992,2008,576,7,0,10,7,1,1,5
372,37610,1992,2008,355,10,0,10,7,1,1,5
373,90265,1993,2008,644,18,536,20,6,2,1,5
374,115044,1993,2008,914,2,536,20,6,2,1,5
375,273451,2007,2008,1394,15,524,10,2,2,2,2
376,36283,1992,2008,355,13,0,10,7,1,1,5
377,154867,2005,2008,914,8,798,0,5,2,1,4
378,90707,1993,2008,644,8,536,20,6,2,1,5
379,128318,1993,2008,914,7,536,20,6,2,1,5
380,172566,2006,2008,903,3,181,11,3,1,1,3
381,348672,2007,2008,1387,43,1270,16,3,1,1,2
382,362831,2007,2008,1387,35,1270,16,3,1,1,2
383,448672,2007,2008,1643,35,1270,16,3,1,1,2
384,75221,1997,2008,644,7,56,4,7,1,1,0
385,73451,1997,2008,644,4,56,4,7,1,1,0
386,70796,1997,2008,558,13,56,4,7,1,1,0
387,180530,2006,2008,814,6,184,0,2,1,1,2
388,123008,2003,2008,907,8,56,4,7,1,1,0
389,100000,1986,2008,910,16,18,2,5,1,1,3
390,247787,2006,2008,1437,6,536,11,1,1,1,1
391,90707,1993,2008,644,9,536,20,6,2,1,5
392,182743,2005,2008,914,13,798,0,5,2,1,4
393,137168,2005,2008,743,20,798,0,5,2,1,4
394,61504,1992,2008,576,2,0,10,7,1,1,5
395,215929,2005,2008,1184,16,798,0,5,2,1,4
396,291415,2007,2008,1419,26,524,10,2,2,2,2
397,78318,1993,2008,644,5,536,20,6,2,1,5
398,46017,1992,2008,355,9,0,10,7,1,1,5
399,112831,1993,2008,914,2,536,20,6,2,1,5
400,82743,1993,2008,644,16,536,20,6,2,1,5
401,66371,1992,2008,576,11,0,10,7,1,1,5
402,77876,1993,2008,644,1,536,20,6,2,1,5
403,91150,1993,2008,644,18,536,20,6,2,1,5
404,137168,2005,2008,743,19,798,0,5,2,1,4
405,168141,2005,2008,914,20,798,0,5,2,1,4
406,333628,2007,2008,1387,16,1270,16,3,1,1,2
407,348672,2007,2008,1387,42,1270,16,3,1,1,2
408,143362,1986,2008,914,2,0,27,5,1,0,1
409,389380,2007,2008,1519,31,1270,16,3,1,1,2
410,141592,1986,2008,914,2,0,27,5,1,0,1
411,346017,2007,2008,1387,26,1270,16,3,1,1,2
412,58407,1997,2008,430,8,56,4,7,1,1,0
413,55752,1997,2008,430,5,56,4,7,1,1,0
414,59115,1985,2008,587,10,76,2,5,1,1,1
415,92920,1986,2008,910,11,18,2,5,1,1,3
416,230088,2006,2008,1149,12,536,11,1,1,1,1
417,127433,1993,2008,914,8,536,20,6,2,1,5
418,176991,1993,2008,1761,19,536,20,6,2,1,5
419,119469,1993,2008,914,4,536,20,6,2,1,5
420,60619,1992,2008,576,13,0,10,7,1,1,5
421,277256,2007,2008,1366,5,524,10,2,2,2,2
422,291238,2007,2008,1394,12,524,10,2,2,2,2
423,281592,2007,2008,1366,9,524,10,2,2,2,2
424,277256,2007,2008,1366,4,524,10,2,2,2,2
425,282566,2007,2008,1394,5,524,10,2,2,2,2
426,286902,2007,2008,1394,9,524,10,2,2,2,2
427,209911,2007,2008,1103,5,524,10,2,2,2,2
428,286902,2007,2008,1394,9,524,10,2,2,2,2
429,277876,2007,2008,1419,11,524,10,2,2,2,2
430,291238,2007,2008,1394,14,524,10,2,2,2,2
431,277876,2007,2008,1419,12,524,10,2,2,2,2
432,282566,2007,2008,1394,3,524,10,2,2,2,2
433,282566,2007,2008,1394,4,524,10,2,2,2,2
434,220265,2007,2008,1103,30,524,10,2,2,2,2
435,286902,2007,2008,1394,8,524,10,2,2,2,2
436,295575,2007,2008,1394,25,524,10,2,2,2,2
437,291238,2007,2008,1394,13,524,10,2,2,2,2
438,286902,2007,2008,1394,7,524,10,2,2,2,2
439,295575,2007,2008,1394,23,524,10,2,2,2,2
440,282566,2007,2008,1394,4,524,10,2,2,2,2
441,273362,2007,2008,1419,7,524,10,2,2,2,2
442,286902,2007,2008,1394,6,524,10,2,2,2,2
443,277876,2007,2008,1419,21,524,10,2,2,2,2
444,282566,2007,2008,1394,5,524,10,2,2,2,2
445,282566,2007,2008,1394,3,524,10,2,2,2,2
446,282566,2007,2008,1394,5,524,10,2,2,2,2
447,273362,2007,2008,1419,6,524,10,2,2,2,2
448,286902,2007,2008,1394,6,524,10,2,2,2,2
449,277876,2007,2008,1419,17,524,10,2,2,2,2
450,291238,2007,2008,1394,12,524,10,2,2,2,2
451,295575,2007,2008,1394,18,524,10,2,2,2,2
452,295575,2007,2008,1394,27,524,10,2,2,2,2
453,286902,2007,2008,1394,9,524,10,2,2,2,2
454,295575,2007,2008,1394,16,524,10,2,2,2,2
455,295575,2007,2008,1394,17,524,10,2,2,2,2
456,295575,2007,2008,1394,21,524,10,2,2,2,2
457,282566,2007,2008,1394,4,524,10,2,2,2,2
458,291238,2007,2008,1394,14,524,10,2,2,2,2
459,277876,2007,2008,1419,21,524,10,2,2,2,2
460,286902,2007,2008,1394,6,524,10,2,2,2,2
461,286902,2007,2008,1394,8,524,10,2,2,2,2
462,291238,2007,2008,1394,14,524,10,2,2,2,2
463,277876,2007,2008,1419,16,524,10,2,2,2,2
464,38053,1992,2008,355,13,0,10,7,1,1,5
465,115044,1993,2008,914,18,536,20,6,2,1,5
466,123893,1986,2008,1131,2,0,27,5,1,0,1
467,209734,2007,2008,868,8,1270,16,3,1,1,2
468,155752,1986,2008,1131,7,0,27,5,1,0,1
469,176991,2006,2008,903,10,181,11,3,1,1,3
470,556637,2007,2008,1928,31,1270,16,3,1,1,2
471,185840,2006,2008,910,19,184,0,2,1,1,2
472,47787,1986,2008,508,2,18,2,5,1,1,3
473,91150,1986,2008,910,13,18,2,5,1,1,3
474,262831,2006,2008,1412,8,536,11,1,1,1,1
475,84070,1993,2008,644,7,536,20,6,2,1,5
476,286902,2007,2008,1394,10,524,10,2,2,2,2
477,115044,1993,2008,914,4,536,20,6,2,1,5
478,37168,1992,2008,355,10,0,10,7,1,1,5
479,138053,2005,2008,743,13,798,0,5,2,1,4
480,123451,2005,2008,743,21,798,0,5,2,1,4
481,34955,1992,2008,355,12,0,10,7,1,1,5
482,291238,2007,2008,1394,12,524,10,2,2,2,2
483,123893,1993,2008,914,11,536,20,6,2,1,5
484,115044,1993,2008,914,5,536,20,6,2,1,5
485,75221,1993,2008,644,9,536,20,6,2,1,5
486,277256,2007,2008,1366,3,524,10,2,2,2,2
487,200884,2007,2008,868,14,1270,16,3,1,1,2
488,130973,1986,2008,914,1,0,27,5,1,0,1
489,71681,1997,2008,644,10,56,4,7,1,1,0
490,74778,1997,2008,644,13,56,4,7,1,1,0
491,66814,1997,2008,558,11,56,4,7,1,1,0
492,119469,2006,2008,636,19,184,0,2,1,1,2
493,188053,2006,2008,910,8,184,0,2,1,1,2
494,53097,1985,2008,587,4,76,2,5,1,1,1
495,284955,2006,2008,1743,6,536,11,1,1,1,1
496,219026,2007,2008,1419,17,524,10,2,2,2,2
497,88495,1993,2008,644,11,536,20,6,2,1,5
498,34070,1992,2008,355,2,0,10,7,1,1,5
499,95575,1993,2008,644,7,536,20,6,2,1,5
500,215929,2007,2008,1394,7,524,10,2,2,2,2
